"","FBCF","CIB","CURI","EMBI","ER","IBOV","ICE","ICI","IIE","IR","LTOT","NFSP","POUP","TT","WP"
"75",2.90735952567887,4.57440165231646,4.34898678059568,-0.845521660985949,4.61838251746023,3.67802793159523,4.32280727501391,4.32148013480585,4.78749174278205,7.06727135298564,1.45069602133495,-2.89,2.82298153819396,4.57522630961502,4.49567751158418
"76",2.89081656357686,4.53785447870322,4.34639945703073,-0.845832268225594,4.60055957343041,3.6932269345554,4.36054760299676,4.33467293829041,4.81705054502359,6.3833805476865,1.47428802290834,-2.74,2.78955417503508,4.59370470787881,4.49118916830639
"77",2.88893274832675,4.5143698216616,4.34639945703073,-0.835444151588607,4.57882621064849,3.6811843695222,4.3907385752759,4.36437169943516,4.8331022540341,5.76649938452798,1.4908303673872,-2.56,2.77552278870836,4.60366905986182,4.49176326813274
"78",2.90064258773386,4.50766760462685,4.34769395559338,-0.95984462924834,4.55786891287008,3.80621933059109,4.47163879336357,4.43556740160191,4.76302827060367,5.28759594428125,1.49622344829342,-2.3,2.77692402493092,4.61224509966005,4.49592348159505
"79",2.91544477982096,4.50876941170174,4.35670882668959,-1.16094372340421,4.49880916999668,3.92972538954115,4.50976000118343,4.4818719696436,4.716711560721,4.71482889733839,1.51032248928329,-2.09,2.77504731051394,4.61274145148441,4.5042018024211
"80",2.93237154751255,4.46980854805742,4.36182392735636,-1.2690771420732,4.47026642352329,3.9524170226649,4.54329478227,4.54116485601218,4.69226489283902,4.52290076335877,1.537276070802,-1.87,2.76618320516702,4.62888671260541,4.51309442240384
"81",2.95051539786445,4.45283452468439,4.35799005684564,-1.30852849096647,4.45875616753256,3.95255142958811,4.58087749341905,4.58087749341905,4.69134788222914,4.31578947368423,1.55362948098292,-1.6,2.7569660372635,4.62565885241541,4.52173063171975
"82",2.96680277328223,4.46037560108486,4.3732381286408,-1.37662695571776,4.41715243664926,4.03710967486989,4.63278535302106,4.61115225766564,4.67095792652609,4.1107704101188,1.41294577434071,-1.46,2.76371158581065,4.63181211693451,4.52993829453622
"83",2.9819295688414,4.45225207956338,4.38825718442452,-1.42427947430495,4.4083033577521,4.08083949219193,4.6737629774537,4.66438204561994,4.69134788222914,4.130726471152,1.47204682103049,-1.07,2.79438402299646,4.66419352643755,4.54315560085762
"84",2.99694270265732,4.45875616753256,4.39444915467244,-1.48400742554052,4.37134478632702,4.15872533282247,4.68305672464516,4.69592454925656,4.66343909411207,4.30066237880387,1.61767716750714,-0.94,2.84104548025599,4.66936489803009,4.55026172882661
"85",3.00683529290844,4.47369382319971,4.40549899085902,-1.51002361195382,4.37285974684906,4.18965234967907,4.68120487226409,4.71133038181648,4.62399194022868,4.2506236806755,1.62085398349117,-1.33,2.87133541395412,4.68951133442184,4.55863071573661
"86",3.01034746223681,4.51928544683092,4.41279829334063,-1.58408033251345,4.3804003129293,4.22111670416036,4.68305672464516,4.72561633906396,4.60015764416455,4.16067491132204,1.61594100597257,-1.94,2.87173222939115,4.72108481058445,4.56322880684611
"87",3.00842062347522,4.56809117774667,4.41158543691543,-1.56920556540598,4.37688845681776,4.22797408599652,4.6931810633108,4.72915616576908,4.63666885304746,3.88182426618224,1.58206972607036,-2.18,2.85238146693445,4.72818396188324,4.57470738921929
"88",3.00947670913982,4.57161340245925,4.41521960202965,-1.50125637958957,4.40097105067482,4.18870816621874,4.72206393745959,4.75013595623828,4.64631212931927,3.6439950395879,1.57816303204271,-2.15,2.84328856017263,4.71867742678169,4.57925961374003
"89",3.01415044165281,4.51415078760092,4.42124734782716,-1.66279282706852,4.36627827770574,4.24039542092985,4.74493212836325,4.74927052996185,4.57161340245925,3.30892840163544,1.56932635131054,-1.88,2.85188354606356,4.7295094602437,4.589698251381
