"","as.yearmon(time(data.m))","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"42",abr 2006,218157.172304453,1249888.38482155,219383.154211118,-3.27618715568938,96.99,93.1535189105729,95.14,11.0484564656408,38984.3840931452,234,1287.53144275201,2769.55437629216,211.869462897681,288.630040543375,4592.76227312867,90.1,103.2,104,81,95.29
"43",mai 2006,218855.720315077,1258229.62246125,222641.750421584,-3.28958666783218,96.89,93.6200597941189,99.31,11.0045092583709,39033,246.086956521739,1168.57465925357,2023.58024691318,308.764178113069,322.858076200112,3676.75136873757,98,100.6,98.3,81.1,99.12
"44",jun 2006,221355.407881884,1277328.41555505,230443.744357477,-3.35422617647844,98.53,94.0260826577534,102.35,10.7180620974719,35072.4761904762,262.136363636364,1484.98253764655,1996.04299988468,216.365745887673,362.079010254935,4284.29821010266,94.1,100.1,98.6,81.2,99.63
"45",jul 2006,223739.965892497,1296522.55752305,240668.333561873,-3.24276555938472,101.59,94.0990480413119,100.12,10.5895931518707,36302.3333333333,239.571428571429,1080.91931706933,2594.30016498804,227.798430235154,320.517389012343,4196.14761593498,93.5,101.5,101.3,81.7,99.75
"46",ago 2006,226216.903438022,1316999.51315503,248474.93627327,-3.32787001649395,101.06,94.5814221037827,99.2,10.4198767334361,36923.8695652174,218.173913043478,1226.57896715278,2941.78344179215,191.75541074817,313.664640238455,4612.20811089808,94,99.3,99.6,81.8,97.05
"47",set 2006,227855.367905764,1333428.17558005,253987.77571306,-3.21487484137355,102.61,94.7574965197143,99.14,10.0964320154291,36173.95,229,1078.17348360671,2572.25901623874,241.236171807756,354.148390418461,4070.01926072111,96.4,101.7,102.5,81.9,94.66
"48",out 2006,228916.543798648,1346590.93509944,257438.572531671,-3.31579458396651,103.26,94.8303255803647,97.72,10.3525082316483,38628.380952381,217.727272727273,1054.44653249607,1862.18575614051,271.843126321236,355.244279175188,3527.86493880649,98.5,100.5,99.7,81.6,95.76
"49",nov 2006,230469.504726154,1358507.36552652,261318.250673807,-3.24933057465994,102.26,95.6432380409353,98.62,10.3183847796544,41199.3684210526,219.869565217391,2542.94773628171,1993.72016803721,286.231307955896,420.010610956865,5295.63260925759,91.7,102.8,99.7,81.6,99.88
"50",dez 2006,232181.977122788,1366674.91344329,264739.334735757,-3.13555157981071,104.65,96.2980819120216,99.29,9.74403723094821,43316.6842105263,206.5,1116.96770151531,3413.70289956104,372.049833556545,863.593912503737,5759.46127559254,97.7,105.3,99.1,81.7,100.81
"51",jan 2007,234678.985387422,1374182.80734991,268499.241129551,-3.48958666783218,102.16,96.5131383525091,97.85,9.84561607923098,43443,191.636363636364,2035.93087793411,3670.82606337042,359.315264652465,409.271647176172,6401.97609255807,91.8,104.2,97.8,82.3,99.11
"52",fev 2007,238662.898533424,1381714.7263041,271214.634553732,-3.45997724692932,101.83,96.9057213246722,95.85,9.61949136090079,45163.8333333333,183.15,1176.35319357342,1676.87445315974,296.374601883327,299.747773876945,3387.98107316209,97,107.4,104.7,83.2,98.79
"53",mar 2007,243084.582400063,1390677.51968743,272325.090558807,-3.41973659373066,103.85,97.3549723978098,96.14,9.49883449883449,44232.2059100595,186.636363636364,1837.80472587596,1961.46056039848,437.097283069701,744.265918141913,5128.49784742101,91.5,108.8,108.8,82.6,98.75
"54",abr 2007,247856.32653292,1401048.01877031,273014.950808211,-3.4372551421325,100.53,97.5277761420067,94.59,9.30097087378641,47799.6446918223,154.7,1487.24155725105,1810.64203519587,409.408662837978,458.846659108876,4224.67376029714,95.5,111.4,111.3,82.8,95.87
"55",mai 2007,251678.791970175,1407832.73290974,272569.366074971,-3.42787001649396,100.43,98.2845857437376,92.5,8.9649156813336,51226.5,147.652173913043,1657.27706029533,2381.94873387086,494.177069846578,678.173521886576,5106.79457261482,96.8,111.8,110.5,83.1,93.91
"56",jun 2007,254574.126787647,1410520.47100897,272099.340338152,-3.38487484137355,100.6,98.3789448913249,90.12,8.04320570932589,53645.5,147.095238095238,2073.57441341141,2091.18602735787,413.295189526212,541.729013454121,5291.11252971009,89.3,111.2,110.2,83.6,92.03
"57",jul 2007,256696.169173848,1411136.56245443,271631.373647371,-3.43579458396651,100.62,98.7279902705222,88.84,7.70194717563137,56200.0476190476,168.863636363636,1769.8867791153,3417.15667456536,485.21424966485,562.614159891153,6301.62314745216,88.4,113,113,83.7,91.58
"58",ago 2007,258420.909357889,1411691.19197738,271503.213065166,-3.22869499878127,101.53,99.4953781943336,92.25,6.95910923401806,52162.8260869565,201.391304347826,2228.35145965216,2520.01230568865,340.921935467545,528.186076265205,5596.53904180987,96.2,112.7,113.2,83.5,93.84
"59",set 2007,261059.001904648,1420825.92156882,272866.267356394,-3.17618715568939,102.47,99.6034316080995,89.92,6.78828612578013,56362.1578947368,191.1,2250.19804567704,1324.77363757224,324.975216878126,1231.58547494929,5098.38752832174,96.2,113.1,114.5,83.9,94.42
"60",out 2007,263632.243622913,1432235.67455302,274805.168311538,-3.23958666783218,104.75,100.293579239522,86.17,6.78063772570112,62680.9090909091,169.913043478261,3573.91586704626,2377.76834103912,500.788408398304,899.291952204068,7464.4765689178,97.2,114.8,114.8,84.6,92.96
"61",nov 2007,266525.500794041,1445822.72099273,277455.532136485,-3.37422617647844,102.67,100.521519749238,86.19,6.70889720702561,62447.9473684211,211.772727272727,2309.68365157102,2204.93112531986,383.15788875355,737.221657852284,5597.3347286228,96.3,113.9,111,84.6,92.79
"62",dez 2007,269042.166057124,1457892.46008989,279946.534203282,-3.24276555938472,103.7,101.142434800068,86.66,6.43308443423318,63469.6666666667,215.1,2397.53141624577,1568.6314188589,446.826670561833,558.404474161386,4839.64413850599,92.1,114.4,109.1,84.8,93.82
"63",jan 2008,272815.475376683,1476078.1965633,284157.161816114,-3.36787001649395,105.85,101.984151621271,86.19,6.33129303749043,59645.2380952381,244.04347826087,2286.98877428017,2857.7825226406,399.047824683258,670.917311693303,6047.29293828806,99.3,113.5,107.3,85.5,98
"64",fev 2008,278004.721610375,1493660.05310853,289227.351141578,-3.56943268333337,102.24,102.029681903915,85.36,6.28047031832519,62536.2631578947,256.809523809524,2222.9189343395,3115.28785489967,430.01331795332,654.681386391602,6315.69864810553,98,113.7,109.7,85.1,103.45
"65",mar 2008,283335.506202604,1508061.63168271,294884.461278757,-3.63276555938472,101.35,101.747626116676,86.32,6.15869378401603,60653.0326130198,276.25,3362.31141273169,4034.44895964727,470.536909481868,1061.51586935212,9106.02674199161,97.4,112.3,112.2,85.5,105.36
"66",abr 2008,288588.184603656,1518775.55063763,298281.464260664,-3.57300826413685,99.77,101.92715353809,85.97,6.02627570449352,65177.4146514336,244.045454545455,4244.78478187007,5441.49005068259,512.067914380709,682.340068188758,11096.285198173,95.1,112.1,112,85.2,105.34
"67",mai 2008,294912.774141996,1527349.45541595,300974.779350164,-3.60973659373066,104.79,101.369332435047,84.12,5.73025194165562,71209.75,205.090909090909,3921.34722685862,2724.85761528649,494.279179044897,682.990932227108,7802.90813440917,92.3,113,112,84.6,106.03
"68",jun 2008,303326.958875203,1539793.26023664,301681.566630826,-3.6472551421325,106.81,101.234862760988,82.11,5.6854610597775,67235.4285714286,195.238095238095,2399.81862312289,1537.8112828687,503.634183646588,756.874514686665,5249.79273731927,91.9,114.6,114.1,84.8,107.75
"69",jul 2008,313145.455799887,1555795.13413313,301798.554162388,-3.69787001649395,108,100.935165391901,81.06,5.63128701701605,59770.0909090909,232.304347826087,1872.23911129658,2357.11855558606,519.960621609747,1604.17732634505,6486.5936245606,92.4,113.8,113.7,85.4,104.94
"70",ago 2008,317214.161187234,1564047.94732154,300350.422197278,-3.75555157981072,111.23,100.050504931096,80.55,6.35772817179994,55456.0476190476,236,3354.03099047751,2600.11926803755,348.969448605116,801.213631656459,7123.62836214069,90.5,114.1,116,85.2,97.28
"71",set 2008,314061.864411669,1558045.77391838,296550.181974454,-3.89511784552934,108.91,99.1297343276991,87.61,6.72000000000001,50594.5454545455,289,3302.73103517624,3846.25087815928,302.705118663802,1138.96341799664,8523.45030221778,98.7,111.9,111.4,84.6,102.22
"72",out 2008,303838.93404818,1538934.02490623,289511.527368478,-3.96869499878127,111.51,97.9036939774758,100.24,6.81326942956488,38142.8260869565,491.045454545455,3931.139388724,4021.58942670883,438.572904306478,991.736829872104,9449.33750673245,132.4,102.2,100.9,83.9,102.97
"73",nov 2008,293349.161628451,1523577.54658635,279732.749806917,-3.65618715568938,105.87,94.9198258865081,100.66,6.81455023968418,35908.4210526316,467.736842105263,2549.32866681318,2825.56326597371,626.743602630482,1107.73062536063,6984.59835261442,128.2,82.3,83.8,83.1,98.88
"74",dez 2008,282862.083234895,1513063.75176223,267221.71068329,-3.32958666783218,104.3,92.0582312709937,107.19,7.32766761095374,37557.75,478.545454545455,2244.59281801599,3804.88001143596,428.419021418399,820.744383494443,7211.26608677685,121.8,74,74.9,78.7,97.98
"75",jan 2009,271960.987227462,1502062.9166615,251767.814439159,-2.89973659373066,97.05,89.6288730187279,101.33,7.06727135298564,39568.2857142857,429.333333333333,2180.99458068929,2915.7714961679,374.466945673459,866.788657418882,6137.44798343532,120,75.3,75.4,77.4,96.97
"76",fev 2009,266448.027673339,1495606.39976753,242237.498793635,-2.69997724692932,98.86,89.2274893167681,99.54,6.3833805476865,40174.2777777778,429.2,2353.09299973552,3729.83416007696,362.206092455229,927.6039653122,7265.45560131661,123.6,76.3,78.3,77.2,93.49
"77",mar 2009,267676.37730499,1501844.61922062,239251.087838562,-2.59579458396651,99.85,89.2787295099767,97.4,5.76649938452798,39693.4779903778,433.681818181818,4740.34383578297,3891.45618543129,451.681685300782,871.062310587279,10067.3192133086,125.6,78.6,80.7,77.2,91.32
"78",abr 2009,273441.190903154,1510397.56132382,241982.073766972,-2.26933057465994,100.71,89.6509217451494,95.38,5.28759594428125,44979.9488012314,382.952380952381,3635.90720347245,3389.95732103452,595.269598303331,1257.37467966025,9011.53788202396,117.1,84.4,87.5,77.3,90.71
"79",mai 2009,280640.676391533,1520418.97775372,242963.52405887,-2.07555157981072,100.76,90.3961612475837,89.91,4.71482889733839,50893,313.190476190476,3490.79208338484,2243.84164935019,652.532535515518,754.088084609639,7209.21242290842,111.8,88.4,90.9,78,90.81
"80",jun 2009,288997.076571416,1532041.43787442,243627.347146377,-1.91511784552934,102.4,91.203604780748,87.38,4.52290076335877,52061.0476190476,281.090909090909,3311.99107510515,4142.79336784961,659.486808722982,1320.0459035363,9692.47154261718,109.1,93.8,94,78.4,87.34
"81",jul 2009,298265.704872639,1546849.24587152,243556.718688808,-1.58869499878127,102.07,91.9946691841551,86.38,4.31578947368423,52068.0454545455,270.217391304348,7471.13194207824,21236.4079887208,568.337944103582,1498.65083991256,31263.7438692812,109,97.6,97.6,78.1,85.87
"82",ago 2009,307877.062254956,1569019.32870915,249708.135066154,-1.46276555938471,102.7,92.7528375486689,82.86,4.1107704101188,56662.3333333333,252.428571428571,2699.48552522715,3259.62565001219,645.787505012873,2285.47039523756,8892.433258812,106.8,100.6,102.8,79.3,86.52
"83",set 2009,317529.161906038,1597047.41168354,261493.215056835,-1.03300826413685,106.08,93.9869178576525,82.13,4.130726471152,59195.1428571429,240.681818181818,4362.77806528784,6526.96815661414,781.377191694676,1564.828054769,13216.2468123574,109,106.1,107.1,80.5,85.82
"84",out 2009,327384.430678284,1628654.36387512,281262.827030823,-0.949736593730655,106.63,94.6571795856479,79.15,4.30066237880387,63989.9047619048,226.727272727273,4111.78779822146,3622.04429540568,551.138149389364,1666.07670720174,9993.8759857074,106,109.5,108.1,81,86.38
"85",nov 2009,333843.992745471,1651611.59169201,292933.372115106,-1.3572551421325,108.8,95.4526884410254,79.27,4.2506236806755,65999.8421052632,220.904761904762,3431.11755407109,3870.34712509161,622.57327679442,1499.88323294235,9186.6999535746,101.9,111.2,107.9,81.9,87.68
"86",dez 2009,336798.74799345,1666385.55092358,295905.126851353,-1.91787001649395,112.29,95.8925991989311,79.87,4.16067491132204,68109.5,205.136363636364,4946.87177262373,3688.95632737803,607.253486862859,1931.95732254722,11005.210937716,99.5,112.8,108.1,82.5,91.77
"87",jan 2010,335397.011187066,1668159.79332889,288042.602650832,-2.16555157981072,113.09,96.999651840068,79.59,3.88182426618224,68578.1578947368,208.210526315789,4853.15316495081,3020.72340550693,864.48734387453,2262.9075249473,10668.5336540386,103.2,113.2,109.2,82.4,96.36
"88",fev 2010,336026.293050006,1669415.32666539,285838.504053852,-2.10997724692932,112.02,97.4422226101601,81.53,3.6439950395879,65937.5555555556,222.85,4030.01614006923,4704.25056448053,930.935554308007,2306.65853087215,11940.228705418,104.2,115.6,112.4,82.7,96.7
"89",mar 2010,339596.2943829,1676459.59390847,288856.271987282,-1.87958666783218,113.24,98.4647140872832,78.75,3.30892840163544,69435.4777210663,189.608695652174,5038.53666290812,2989.25158761586,961.1476803033,2064.32744338099,11304.2503766271,96.7,115.5,115,83.2,91.3
"90",abr 2010,344677.072862116,1683969.14822237,296578.67626527,-2.12422617647844,112.34,99.0993393357004,77.18,3.28709861295839,69371.3726814437,179.238095238095,4670.29852955382,3326.36444797789,847.394032521378,2908.89817313089,11854.7709958036,96.9,115.7,115,84,90.12
"91",mai 2010,350472.894456372,1695955.41184629,302859.454555793,-2.02276555938472,117.31,99.7979182209854,77.66,3.97262877779889,62605.2857142857,224.285714285714,5186.5015796431,3662.50019564902,751.308327438436,2620.53423180308,12321.3269361747,103.5,116.1,114.5,84,89.37
"92",jun 2010,357818.745974651,1717661.30129637,309517.144933449,-1.92300826413685,117.25,99.8992645366378,76.4,4.86455551316292,63335.0952380952,235.636363636364,5009.79545052081,4431.15513825929,712.542705528776,2336.86603914964,12623.7765003132,101.2,114.6,112.5,84.2,87.96
"93",jul 2010,364690.276014318,1741399.4513223,315035.62167484,-1.91973659373066,121.2,100.156945439465,76.44,5.46845124282982,64143.380952381,223.772727272727,4258.71964881454,5114.94407439486,685.520791955474,2641.74515478446,13006.4064329652,96.4,113.2,111.5,84.5,89.22
"94",ago 2010,369259.244009481,1765357.77034984,320417.656461373,-1.91579458396651,121.75,100.620668522886,76.82,5.90487127954828,66576.5909090909,206.363636363636,4782.05753455109,9488.32364945782,972.67305152093,2454.58191875058,17962.9747523213,98.1,112.9,113.3,84.1,93.76
"95",set 2010,369851.936600557,1782478.90968728,324579.954538593,-2.71933057465994,126.78,101.052092643221,75.57,5.69245463228272,67793,211.681818181818,3684.46052341462,31173.6789177575,851.03606268178,2035.60600105923,38584.638218556,98.9,114,114.2,83.6,97.74
"96",out 2010,367319.286386731,1793629.02783198,328685.911997608,-2.59555157981072,125.69,101.495465082657,75.18,5.19011406844105,70618.8499999999,186.761904761905,4552.4941437606,4908.12996537471,926.929929352038,1783.21702245696,12121.1354140985,97.7,113.6,114,84,102.18
"97",nov 2010,366231.559448965,1798699.7225084,331895.65952812,-2.41511784552934,126.55,102.149594158526,75.74,4.76190476190477,70380.05,178.454545454545,4698.85219565314,2935.69658138542,831.914045161736,2556.61872452895,10695.5258311234,101.5,112,111.6,84,109.37
"98",dez 2010,368070.073509565,1801377.01810911,334490.67919363,-2.60869499878127,129.14,102.82212352241,73.74,4.48494004343312,68547.0476190476,177.652173913043,3079.6555116578,3198.03879430322,868.766567723678,1664.38334162766,8583.98581444141,94.8,112.3,109.4,84.1,114.05
"99",jan 2011,371150.527828201,1796614.127208,335603.909386938,-2.63276555938472,128.48,103.729619725243,73.19,4.58533823945655,69779.65,170.52380952381,5228.63374754439,3981.87487250533,776.033416782026,1928.0399019502,11461.9328470627,96.4,110.9,107.2,83.8,119.03
"100",fev 2011,373679.999211835,1797715.2947421,338263.505585196,-2.67997724692932,128.37,103.558013049318,74.67,4.8674653334591,66516,174.25,5569.84602020246,3997.62311638939,815.025467543286,2345.33725109891,12699.8494132684,96.8,111.4,110.5,83,125.67
"101",mar 2011,374695.534080279,1807098.46040694,341186.603046088,-3.00787001649395,126.65,102.909935125353,74.77,5.00470366886172,67569.8006392284,172.739130434783,3661.75109864794,2716.47411202417,637.093863686617,2042.00810560667,9233.23210028921,97.1,112.5,110.2,83,124.77
"102",abr 2011,374462.537133267,1821272.32403476,345080.430338701,-2.94487484137355,127.09,102.670745138219,72.21,4.91033705755328,67070.0656821822,172,4074.27010787179,3259.43314824082,732.252105991355,2057.20997479441,10236.6747323346,97.1,111.6,112.2,83.5,120.59
