"","date","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"12",2003-10-01,184388.894016904,1129210.09823199,198266.301491266,-3.34,95.76,83.4388245854561,129.03,4.87804878048781,17781.6956521739,626.95652173913,748.354842347189,1309.39704641417,566.401962771567,307.485534422593,2914.92578982114,98.6,99.8,98.2,79.6,91.32
"13",2003-11-01,189105.056261237,1134332.16619094,209087.306274055,-3.36,93.9,83.5042183253294,130.76,6.56638443523689,19012.15,567.65,850.37591544312,3076.4561013585,441.238558099292,266.581473571421,4822.49972668031,96.9,102.1,97.9,79.9,94.54
"14",2003-12-01,191951.826096252,1132805.35172028,214246.541140902,-3.24,94.63,84.3834246603682,133.07,6.96248856358646,21157.75,489.181818181818,961.550007832328,1379.68235176492,374.524683792181,279.794763432514,2980.61572234828,92.8,103.9,97.3,80.6,97.29
"15",2004-01-01,193300.463042397,1126062.23855688,214927.700454278,-3.35,95.38,84.8058591501784,130.93,7.99368675146226,23412.9047619048,435.619047619048,615.849395200622,1380.37545528246,568.155514295044,246.788034856571,3039.76077755647,94.5,106.5,99.8,81.2,93.51
"16",2004-02-01,195696.992709784,1127154.9754259,217873.111959285,-3.33,92.82,85.2755041558052,137.73,9.00740463023715,21969.6666666667,545.6,641.18540573042,2244.44444076334,595.806364107435,754.117439832123,4171.77445202825,90,105.9,102.8,81,97.12
"17",2004-03-01,197789.419322796,1137818.41502922,223209.338330211,-3.43,94.12,85.1993264374916,135.51,9.72707526678629,22034.146393032,555.608695652174,1027.42456605509,2138.33783589304,464.399069816903,304.516314712663,4107.96867534831,98.2,105.4,105.3,80.9,101.58
"18",2004-04-01,199809.092033272,1155442.45809439,229029.071023653,-3.29,95.32,85.7870603201825,135.1,10.1653049591488,21696.6725831645,594.333333333333,2133.55967115956,1485.46789619068,590.121348586338,215.892230002012,4519.74891703474,101.9,105.9,106.4,80.8,103.32
"19",2004-05-01,201492.394278683,1170042.79000596,230386.200824208,-3.33,96.96,86.0264987493236,142.57,10.0998573466476,18878.4761904762,725.809523809524,880.546778106441,705.820815501543,469.426769460196,193.61979830494,2312.163864659,94.7,108.1,106.4,81,112.08
"20",2004-06-01,203453.266274106,1179488.50156514,226609.520594961,-3.59,93.2,86.3479182095435,144.1,9.18348104846314,20222,668.545454545455,1695.68384282785,1111.89254021548,607.546151959995,190.34211122945,3669.82688750386,93.6,109.4,107.9,81.2,112.58
"21",2004-07-01,205502.475538616,1184183.17070044,220213.512699861,-3.6,97.68,86.7634262820047,139.4,8.38872764722403,21743.2857142857,615.045454545455,988.149159940518,1002.63490903245,588.359078715642,161.725107065572,2821.33538533048,94.6,110.9,110.4,81.3,107.88
"22",2004-08-01,207206.105934562,1189314.37451238,216604.535057902,-3.68,94.02,86.5661720988198,136.65,8.09852584437394,22267.5909090909,558.318181818182,1744.4057005835,695.295520937854,639.967619247168,212.893307997226,3227.81097183473,91.8,110.9,111.5,81.5,106.13
"23",2004-09-01,208777.316525427,1196483.14258964,216689.328663258,-3.65,94.48,87.2194494554033,131.58,8.80037488284913,22699.2857142857,488.863636363636,1948.5864859839,829.946552176047,834.512905626555,164.34797816072,3724.83481327914,93.6,112.3,112.8,81.8,104.61
"24",2004-10-01,209166.034466151,1200021.22656462,218428.217332321,-3.63,90.46,87.5980764050336,130.98,8.93692682013849,23366.75,468.190476190476,1325.27873194634,1462.50628786426,573.19998934173,277.934157956777,3647.78969477727,89.5,112.6,112,82.1,104.91
"25",2004-11-01,207967.687416206,1197819.14446009,219358.995050042,-3.51,93.44,87.3616690207457,129.05,9.06378217083177,24045.7,438.727272727273,751.689999688619,1224.40765859838,596.998725347919,189.470154659139,2742.65669305873,91.9,110.5,107.1,82.5,103.13
"26",2004-12-01,205277.511258507,1190453.72462701,218880.390761358,-3.69,92.68,87.8210213807212,126.88,9.20074349442379,25535.4761904762,397.95652173913,609.127671393548,1508.06072938412,467.422131425606,155.425610572823,2725.66802772001,89.8,108.7,102.8,83.1,101.43
